source_state,property_id,owner_name,holder_name,address,city,state,postal_code,property_type,property_type_code,property_value,report_year,uuid
CA,1022744157,CALENDAR CLUB / Additional Owners Exist,FIRST CITY CREDIT UNION,PO BOX 713,LA MIRADA,CA,90637,CHECKING ACCOUNTS,AC01,18.73,,MUoiE58BPFHwP-jRZsGR
CA,1022744533,CALENDAR CLUB / Additional Owners Exist,FIRST CITY CREDIT UNION,PO BOX 713,LA MIRADA,CA,90637,SAVINGS ACCOUNTS,AC02,5.0,,aUoiE58BPFHwP-jRZsSR
CA,1010429053,CALENDAR CLUB,STATE COMPENSATION INSURANCE FUND,715 WASHINGTON AVE,ALBANY,CA,94706,DIVIDENDS,SC01,15.6,,mmANE58BWDpOTxa9Aezz
CA,989733817,CALENDAR CLUB,STATE COMPENSATION INSURANCE FUND,715 WASHINGTON AVE,ALBANY,CA,94706,DIVIDENDS,SC01,23.92,,IVLpEp8BVoZSrHrZ2xTC
CA,1000163237,CALENDAR CLUB,STATE COMPENSATION INSURANCE FUND,715 WASHINGTON AVE,ALBANY,CA,94706,DIVIDENDS,SC01,41.28,,iq_7Ep8Bj6Q_lu2XbebR
CA,996597417,CALENDAR CLUB,STATE COMPENSATION INSURANCE FUND,715 WASHINGTON AVE,ALBANY,CA,94706,DIVIDENDS,SC01,48.0,,H6z1Ep8Bj6Q_lu2XRi9f
CA,956972475,CALENDAR CLUB US0459,AMERICAN EXPRESS COMPANY,547 L ST,SACRAMENTO,CA,95814,ACCOUNTS PAYABLE,MS08,14.0,,q8a5Ep8BdwRK0i0yV-v3
CA,956972482,CALENDAR CLUB US0459,AMERICAN EXPRESS COMPANY,547 L ST,SACRAMENTO,CA,95814,ACCOUNTS PAYABLE,MS08,74.25,,rMa5Ep8BdwRK0i0yV-v3
CA,956972478,CALENDAR CLUB US0459,AMERICAN EXPRESS COMPANY,547 L ST,SACRAMENTO,CA,95814,ACCOUNTS PAYABLE,MS08,22.61,,3Ma5Ep8BdwRK0i0yV-v4
CA,956972480,CALENDAR CLUB US0459,AMERICAN EXPRESS COMPANY,547 L ST,SACRAMENTO,CA,95814,ACCOUNTS PAYABLE,MS08,33.38,,3ca5Ep8BdwRK0i0yV-v4
CA,956972481,CALENDAR CLUB US0459,AMERICAN EXPRESS COMPANY,547 L ST,SACRAMENTO,CA,95814,ACCOUNTS PAYABLE,MS08,110.67,,G8a5Ep8BdwRK0i0yV-z4
CA,956972484,CALENDAR CLUB US0459,AMERICAN EXPRESS COMPANY,547 L ST,SACRAMENTO,CA,95814,ACCOUNTS PAYABLE,MS08,50.49,,HMa5Ep8BdwRK0i0yV-z4
CA,956967610,CALENDAR CLUB US0459,AMERICAN EXPRESS COMPANY,547 L ST,SACRAMENTO,CA,95814,PAYMENTS FOR GOODS & SERVICES,MS04,126.78,,Uge5Ep8Bqu6IKIxAUNwS
CA,956972477,CALENDAR CLUB US0459,AMERICAN EXPRESS COMPANY,547 L ST,SACRAMENTO,CA,95814,ACCOUNTS PAYABLE,MS08,53.78,,28a5Ep8BdwRK0i0yV-v4
CA,956972483,CALENDAR CLUB US0459,AMERICAN EXPRESS COMPANY,547 L ST,SACRAMENTO,CA,95814,ACCOUNTS PAYABLE,MS08,41.95,,3sa5Ep8BdwRK0i0yV-v4
CA,956972479,CALENDAR CLUB US0459,AMERICAN EXPRESS COMPANY,547 L ST,SACRAMENTO,CA,95814,ACCOUNTS PAYABLE,MS08,9.64,,Gsa5Ep8BdwRK0i0yV-z4
CA,956967609,CALENDAR CLUB US0459,AMERICAN EXPRESS COMPANY,547 L ST,SACRAMENTO,CA,95814,PAYMENTS FOR GOODS & SERVICES,MS04,9.97,,eAe5Ep8Bqu6IKIxAUNwS
CA,956972476,CALENDAR CLUB US0459,AMERICAN EXPRESS COMPANY,547 L ST,SACRAMENTO,CA,95814,ACCOUNTS PAYABLE,MS08,16.13,,msa5Ep8BdwRK0i0yV-v3
CA,1046621109,CALENDAR,PAYPAL,16421 CAMINITO VECINOS UNIT 1,SAN DIEGO,CA,92128,MISC INTANGIBLE PROP,MS17,1.83,,MevkF58BVoZSrHrZKJVe
CA,999503918,BAY AREA CALENDAR CLUB,TRAVELERS INDEMNITY COMPANY,24660 AMADOR ST 175,HAYWARD,CA,94544,PREMIUM REFUNDS,IN05,3.0,,sZL6Ep8BRez0kkx5OAko
CA,963539755,CHRISTMAS CORNER CALENDAR CLUB,STATE COMP INSURANCE FUND,15518 LITTLE PEAK RD HIDDEN,VALLEY LAKE,CA,95467,PREMIUM REFUNDS,IN05,5.63,,STbBEp8BVoZSrHrZR-vs
CA,1083596022,VIVIAN TRINH CALENDAR CLUB / Additional Owners Exist,WELLS FARGO BANK NA (APECS 1009),110 N SAN TOMAS AQUINO RD,CAMPBELL,CA,95008,,CK01,,,5thrE58BBuGJUe8umQ5-
CA,1056777183,DOCKIT CALENDAR  DOCKIT CALENDAR,GOOGLE LLC AND AFFILIATES,13426 KIBBINGS ROAD,SAN DIEGO,CA,92130,CREDIT BAL -  ACCTS RECEIVABLE,MS09,1.66,,devnF58B9dGTenPiWAtl
CA,1027136187,APO CALENDAR,WELLS FARGO BANK NA (APECS 111),,,,00000,CASHIER'S CHECKS,CK01,26.88,,17o0E58BRez0kkx5JzvD
CA,1061062461,BIOTECHNOLOGY CALENDAR,SUNRISE BANKS,14878 MOSSWOOD LN,GRASS VALLEY,CA,95945,,MS11,,,GtJZE58BRez0kkx5JfhJ
CA,991557800,BIOTECHNOLOGY CALENDAR,MANPOWER INC,132 OLYMPIC PARK ROAD,GRASS VALLEY,CA,95945,CREDIT BAL -  ACCTS RECEIVABLE,MS09,0.3,,t_bsEp8BdxBbIqahydcZ
CA,1010314719,BIOTECHNOLOGY CALENDAR,ULINE INC,132 OLYMPIA PARK RD,GRASS VALLEY,CA,95945,CUSTOMER OVERPAYMENTS,MS05,0.6,,_J8ME58BRez0kkx5yO0M
CA,1029038287,CALENDAR BELLA,PAYPAL,,,CA,00000,MISC INTANGIBLE PROP,MS17,14.0,,9Fc4E58Bqu6IKIxApkoT
CA,1009381211,CALENDAR BRAYDEN,GOOGLE PAYMENT CORPORATION,KUVASZ COURT,CITRUS HEIGHTS,CA,95621,UNREDEEMED GIFT CERTIFICATE,MS12,0.68,,nWcLE58BVoZSrHrZQc-3
CA,1028177141,CALENDAR BRYONY,KIVA USER FUNDS LLC,9/340 STIRLING ST,HIGHGATE,,00000,CREDIT BAL -  ACCTS RECEIVABLE,MS09,25.0,,Jxo2E58BdwRK0i0yPWJq
CA,1002867926,CALENDAR CHRISTOPHER,TOYOTA MDL QUALIFIED SETTLEMENT FUND,8111 MAJOR CIR,HUNTINGTN BCH,CA,92647,FUNDS HELD IN FIDUCIARY CAPACI,TR03,29.23,,FvQAE58BdwRK0i0yIWu2
CA,997937507,CALENDAR CREATIONS,"GOOGLE, LLC",6633 W 6TH STREET,LOS ANGELES,CA,90048,CREDIT BAL -  ACCTS RECEIVABLE,MS09,32.2,,O1D3Ep8BWDpOTxa9bkmA
CA,1002867927,CALENDAR DARWIN,TOYOTA MDL QUALIFIED SETTLEMENT FUND,78745 VILLETA DR,LA QUINTA,CA,92253,FUNDS HELD IN FIDUCIARY CAPACI,TR03,29.23,,F_QAE58BdwRK0i0yIWu2
CA,1007606846,CALENDAR DAVID,SYNCHRONY BANK,11118 MOORPARK ST APT 102,NORTH HOLLYWOOD,CA,91602,CREDIT BAL -  ACCTS RECEIVABLE,MS09,3.54,,afoHE58BdwRK0i0y6qbO
CA,1035145605,CALENDAR ELANE,AMERICAN EXPRESS COMPANY,PO BOX 461248,LOS ANGELES,CA,90046,REFUNDS DUE,MS11,45.46,,sQxDE58BMOBo_ZuOwMHA
CA,1046484393,CALENDAR ELANE,PAYPAL,1142 N FULLER AVE 7,WEST HOLLYWOOD,CA,90046,MISC INTANGIBLE PROP,MS17,1.65,,FmLjF58BMOBo_ZuO5_9e
CA,1043338569,CALENDAR ELANE,CITIBANK N A,27136 BROWN OAKS WAY,CANYON COUNTRY,CA,91387,CREDIT BAL -  ACCTS RECEIVABLE,MS09,52.06,,Mh7cF58BBuGJUe8ucIkT
CA,1791847,CALENDAR ESCROW,IMPERIAL BANK,1730 WEST SEPULVEDA BLVD STE 1,TORRANCE,CA,90501,"Non Standard NAUPA Code for - Checking accounts, dmnd depsit",56  ,1894.12,,Us2wEp8BdxBbIqahIP05
CA,9267797,CALENDAR ESCROW,CITY NATIONAL BANK,,,,,"Non Standard NAUPA Code for - Checking accounts, dmnd depsit",56  ,165.92,,26SoEp8BMOBo_ZuOu0ZC
CA,957801316,CALENDAR GEORGE,AT&T CORP,1801 AVIATION WAY APT 308,REDONDO BEACH,CA,90278,REFUNDS DUE,MS11,58.34,,ejC6Ep8B9dGTenPilqk-
CA,2517062,CALENDAR IMAGES,PENNSYLVANIA STATE OF,675 PALOMAR AVE,SUNNYVALE,CA,94086,Non Standard NAUPA Code for - Other,76  ,205.1,,sVqpEp8BRez0kkx5UCJS
CA,17518943,CALENDAR INDUSTRIESINC,CITY NATIONAL BANK,10701 WILSHIRE BLVD #2205,LOS ANGELES,CA,90024,"Non Standard NAUPA Code for - Time deposits, CD accounts",83  ,658.41,,zPysEp8BPFHwP-jRe9RS
CA,1025271464,CALENDAR JENNIFER,GOMEZ ET AL V DOLLAR TREE STORES INC ET AL,5992 KUVASZ CT # 15,CITRUS HEIGHTS,CA,95621,"WAGES, PAYROLL, SALARIES",MS01,0.29,,gU0pE58Bqu6IKIxAPEmC
CA,968590861,CALENDAR JENNIFER,ATLANTICUS HOLDINGS CORPORATION,2420 TRINITY WAY,ROCKLIN,CA,95677,CREDIT BAL -  ACCTS RECEIVABLE,MS09,4.95,,-jrIEp8B9dGTenPikFsb
CA,979453518,CALENDAR JENNY,NIELSEN AUDIO INC.(FORMERLY ARBITRON INC,2420 TRINITY WAY,ROCKLIN,CA,95677,ACCOUNTS PAYABLE,MS08,5.0,,VUbYEp8BVoZSrHrZ-Ws5
CA,14767115,CALENDAR JEWISHA,HYATT REGENCY SUITES PALM SPRINGS,,,,,Non Standard NAUPA Code for - Salaries/wages,81  ,75.0,,H_uqEp8BPFHwP-jRmk_x
CA,5283096,CALENDAR JOHN,SOUTHERN CALIFORNIA GAS CO.,2303 BELLA VISTA DR,SANTA BARBARA,CA,93108,Non Standard NAUPA Code for - Other,76  ,172.13,,4f6uEp8BPFHwP-jRtYz-
CA,1011770180,CALENDAR KEVIN,CHARTER COMMUNICATIONS INC FKA TIME WARNER INC,4941 WHITSETT AVE APT 8,VALLEY VILLAGE,CA,91607,REFUNDS DUE,MS11,56.05,,Q6IPE58BRez0kkx5ghQd
CA,1024336689,CALENDAR LIONEL,COMERICA BANK,3516 WEST SLAUSON AVE,LOS ANGELES,CA,90043,MISC INTANGIBLE PROP,MS17,494.43,,ZaolE58BBuGJUe8uTu2M
CA,9749624,CALENDAR M / CALENDAR R,STATE OF MASSACHUSETTS,25825 HOLLY VISTA,SAN BERNARDINO,CA,92404,Non Standard NAUPA Code for - Other,76  ,50.11,,TqetEp8BMOBo_ZuO0KEJ
CA,977844084,CALENDAR MARIE,T-MOBILE USA,4327 YORK BLVD,LOS ANGELES,CA,90041,CREDIT BAL -  ACCTS RECEIVABLE,MS09,0.15,,u0TWEp8B9dGTenPidcuH
CA,972206294,CALENDAR MARILYN,RECKITT BENCKISER INC.,39906 WILD CANARY LN,MURRIETA,CA,92562,MISC OUTSTANDING CHECKS,MS16,3.5,,TjbNEp8BWDpOTxa96xEi
CA,994164530,CALENDAR MICHAEL,TIME WARNER CABLE INC,309 S WESTLAKE AVE APT 208,LOS ANGELES,CA,90057,REFUNDS OR REBATES,UT03,62.48,,DCjxEp8BPFHwP-jROZG6
CA,1038006748,CALENDAR NATHAN,GOOGLE PAYMENT CORPORATION,UNKNOWN,ROSEVILLE,CA,95621,UNREDEEMED GIFT CERTIFICATE,MS12,0.02,,2ZNIE58BVoZSrHrZxpRU
CA,9749624,CALENDAR R / CALENDAR M,STATE OF MASSACHUSETTS,25825 HOLLY VISTA,SAN BERNARDINO,CA,92404,Non Standard NAUPA Code for - Other,76  ,50.11,,TaetEp8BMOBo_ZuO0KIJ
CA,1016534263,CALENDAR RAYMOND,AMERICAN EXPRESS PREPAID CARD MANAGEMENT,28248 AUTUMNGLEN RD,HIGHLAND,CA,92346,UNREDEEMED GIFT CERTIFICATE,MS12,0.05,,rUUXE58Bqu6IKIxAuAHR
