source_state,property_id,owner_name,holder_name,address,city,state,postal_code,property_type,property_type_code,property_value,report_year,uuid
CA,1021138728,CALENDAR HOLDINGS LLC,AMERICAN EXPRESS COMPANY,1151 GALLERIA BLVD NO 1197,ROSEVILLE,CA,95678,PAYMENTS FOR GOODS & SERVICES,MS04,8.32,,hnQfE58B9dGTenPixpf4
CA,1021138730,CALENDAR HOLDINGS LLC,AMERICAN EXPRESS COMPANY,1151 GALLERIA BLVD NO 1197,ROSEVILLE,CA,95678,PAYMENTS FOR GOODS & SERVICES,MS04,15.61,,h3QfE58B9dGTenPixpf4
CA,1021138734,CALENDAR HOLDINGS LLC,AMERICAN EXPRESS COMPANY,1151 GALLERIA BLVD NO 1197,ROSEVILLE,CA,95678,PAYMENTS FOR GOODS & SERVICES,MS04,13.52,,iXQfE58B9dGTenPixpf4
CA,1016050677,CALENDAR HOLDINGS LLC,AMERICAN EXPRESS COMPANY,3100 E IMPERIAL HWY,LYNWOOD,CA,90262,PAYMENTS FOR GOODS & SERVICES,MS04,122.59,,SAUWE58BdwRK0i0y8Ocd
CA,1016050678,CALENDAR HOLDINGS LLC,AMERICAN EXPRESS COMPANY,3100 E IMPERIAL HWY,LYNWOOD,CA,90262,PAYMENTS FOR GOODS & SERVICES,MS04,8.49,,SQUWE58BdwRK0i0y8Ocd
CA,1016050679,CALENDAR HOLDINGS LLC,AMERICAN EXPRESS COMPANY,3100 E IMPERIAL HWY,LYNWOOD,CA,90262,PAYMENTS FOR GOODS & SERVICES,MS04,63.19,,1gUWE58BdwRK0i0y8Ocd
CA,1016050680,CALENDAR HOLDINGS LLC,AMERICAN EXPRESS COMPANY,3100 E IMPERIAL HWY,LYNWOOD,CA,90262,PAYMENTS FOR GOODS & SERVICES,MS04,38.12,,7QUWE58BdwRK0i0y8Ocd
CA,1021138732,CALENDAR HOLDINGS LLC,AMERICAN EXPRESS COMPANY,1151 GALLERIA BLVD NO 1197,ROSEVILLE,CA,95678,PAYMENTS FOR GOODS & SERVICES,MS04,17.68,,_nQfE58B9dGTenPixpf4
CA,1016050673,CALENDAR HOLDINGS LLC,AMERICAN EXPRESS COMPANY,STNERGE SHPING CTR CA,PLEASANTON,CA,94588,PAYMENTS FOR GOODS & SERVICES,MS04,4.24,,wQUWE58BdwRK0i0y8Ocd
CA,1021138729,CALENDAR HOLDINGS LLC,AMERICAN EXPRESS COMPANY,1151 GALLERIA BLVD NO 1197,ROSEVILLE,CA,95678,PAYMENTS FOR GOODS & SERVICES,MS04,14.81,,HXQfE58B9dGTenPixpf4
