source_state,property_id,owner_name,holder_name,address,city,state,postal_code,property_type,property_type_code,property_value,report_year,uuid
TX,26549114,CALENDAR CLUB,IBC MCALLEN,,,,00000,CHECKING ACCOUNT,AC01,35.73,2011,4Pb7F58B9dGTenPiqma6
TX,15429252,CALENDAR CLUB,EAST CENTRAL ENERGY,PO BOX 195,DRIFTWOOD,TX,78619,CAPITAL CREDIT DISTRIBUTION,UT04,44.01,2009,32n1F58BMOBo_ZuOKPmr
TX,71782730,CALENDAR CLUB,BLUEBONNET ELECTRIC COOP INC,J F & ASSOCIATES,DRIFTWOOD,TX,78619,CAPITAL CREDIT DISTRIBUTION,UT04,45.54,2021,KWIRGJ8Bj6Q_lu2XlRc-
TX,37850448,CALENDAR CLUB LLC,GOOGLE LLC & AFFILIATES,205 BUGGY WHIP DRIVE,KYLE,TX,78640,ANY OTHER MISC INTANGIBLE PERSONAL PROP,MS17,74.38,2014,vv4CGJ8BVoZSrHrZ1Xi4
TX,98464716,CALENDAR CLUB LLC,Not Disclosed,6411 BURLESON RD,AUSTIN,TX,78744,Not Disclosed,CK15,63.0,2025,fYogGJ8BMOBo_ZuObAVe
TX,21825837,SFMB CALENDAR CLUB,FEDEX CORP ESPP,4801 FRIEDRICH LANE,AUSTIN,TX,78744,ANY OTHER MISCELLANEOUS OUTSTANDING CKS,MS16,55.99,2010,Yi34F58BRez0kkx5coHZ
TX,21827207,SFMB CALENDAR CLUB,FEDEX CORP ESPP,4801 FRIEDRICH LANE,AUSTIN,TX,78744,ANY OTHER MISCELLANEOUS OUTSTANDING CKS,MS16,55.99,2011,iC34F58BRez0kkx5coPZ
TX,71782731,CALENDAR CLUB STORE OF,BLUEBONNET ELECTRIC COOP INC,SAN MARCOS ST # US0432,AUSTIN,TX,78760,CAPITAL CREDIT DISTRIBUTION,UT04,50.44,2021,KmIRGJ8Bj6Q_lu2XlRc-
TX,20772800,DBA SRV LLC CALENDAR CLUB,BBVA COMPASS BANK,#### KATY FWY STE ###,HOUSTON,TX,00000,CHECKING ACCOUNT,AC01,50.7,2011,8-_tF58BVoZSrHrZ5m91
TX,9287398,ALTANA  CALENDAR,AMERICAN GEN LIC,,,,00000,"MATURED POLICY ENDOW, ANNUITIES",IN04,39.86,2016,I03yF58Bj6Q_lu2XLlA2
TX,37699526,BASEBALL CALENDAR,WINNS STORES INC LIQUIDATING TRST,PO BOX 15313,HATTIESBURG,MS,39402,INVOLUNTARY DISSOLUTION OR LIQ PROCEEDS,MS15,30.44,2001,JfcCGJ8BWDpOTxa9vCeU
TX,98191947,BELLA  CALENDAR,Not Disclosed,2410 LASKER AVE,WACO,TX,76707,Not Disclosed,IN05,125.07,2024,U0ggGJ8BRez0kkx5Ow1d
TX,68361979,CALENDAR  HELENA,WASTE MANAGEMENT HOLDINGS INC,1222 MOUNTAIN LAKE DR,MISSOURI CITY,TX,77459,CUSTOMER OVERPAYMENT,MS05,52.04,2020,BT4PGJ8BBuGJUe8uzSo-
TX,29534097,CALENDAR HOMES,CITY OF HOUSTON,,,,00000,VENDOR CHECK,CK13,85.86,1992,e8b9F58Bqu6IKIxAgn5n
TX,59023809,DOMINIC  CALENDAR,FleetCor Technologies Operating Co LLC,1475 E SAM HOUSTON PKWY S,PASADENA,TX,77503,"WAGES, PAYROLL, OR SALARY",MS01,81.66,2019,zgELGJ8B9dGTenPiLhrq
TX,92200483,ELANE  CALENDAR,BANK OF AMERICA NA,2410 LASKER STREET,WACO,TX,76710,CASHIER'S CHECK,CK01,100.0,2024,fUcdGJ8BBuGJUe8uFw9B
TX,104171264,HUGO  CALENDAR,Not Disclosed,1222 MOUNTAIN LAKE DR,MISSOURI CITY,TX,77459,Not Disclosed,MS09,286.8,2025,DIwjGJ8BMOBo_ZuO5fLl
